,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
421,Europe,Mining,Nitrous oxide,0.957628787,1.104895766,1.044403874,0.997193126,1.021317059,1.053420478,1.058080281,1.056257296,1.107185115,1.162736391,1.094020589,1.163715002
422,Europe,Other Services Industries,Carbon dioxide,346.9503203,328.5690933,323.0642317,316.7114066,297.0826436,307.3466096,310.5511343,311.1747576,305.2250874,300.8971088,294.5464092,294.6641946
423,Europe,Other Services Industries,Fluorinated gases,0.160243471,0.160991396,0.159790428,0.161961008,0.161974776,0.162720454,0.16325944,0.165147381,0.165415244,0.182115403,0.160376899,0.178574646
424,Europe,Other Services Industries,Greenhouse gas,361.7171311,342.8311888,337.4156399,330.9741874,311.3250661,321.0273779,324.1097197,324.5990425,318.0039808,313.9694386,307.0971861,307.7242682
425,Europe,Other Services Industries,Methane,9.441163198,9.086612819,9.331825846,9.348357789,9.415814543,8.95919849,8.726808771,8.418275846,7.681906058,7.807341687,7.516922212,7.798612212
426,Europe,Other Services Industries,Nitrous oxide,5.165404113,5.014491225,4.859791996,4.752462012,4.664633203,4.558849356,4.668517239,4.84086165,4.931572029,5.082872769,4.873477823,5.082886698
427,Europe,Total Households,Carbon dioxide,1228.522277,1169.263561,1157.04252,1174.714976,1120.908271,1152.119227,1169.305791,1179.993145,1201.462533,1196.047283,1094.177243,1217.8176
428,Europe,Total Households,Greenhouse gas,1265.010346,1202.647369,1191.742282,1208.977773,1152.660907,1183.925787,1200.734018,1211.450992,1232.448977,1226.550934,1122.198047,1247.578835
429,Europe,Total Households,Methane,24.6017379,22.36567563,23.54278393,23.16874893,21.10540034,21.16675967,21.10666562,21.0855342,20.65814863,20.13611787,18.49510898,19.82054318
430,Europe,Total Households,Nitrous oxide,11.88633186,11.01813269,11.15697838,11.09404839,10.64723591,10.63980042,10.32156121,10.3723124,10.32829509,10.36753291,9.525695083,9.940691578
431,Europe,Total Industry and Households,Carbon dioxide,6384.611796,6321.412431,6262.817783,6098.003588,5869.158434,5863.126183,5852.220366,5897.036848,5898.556996,5720.516843,5344.376538,5736.626649
